row_id,value
22699,1.0
22708,1.0
22668,1.0
79916,1.0
79921,1.0
79934,1.0
42,1.0
79940,1.0
79947,1.0
22652,1.0
22784,1.0
22789,1.0
22628,1.0
22631,1.0
22800,1.0
22806,1.0
22807,1.0
22808,1.0
79876,1.0
79877,1.0
79884,1.0
79904,1.0
79914,1.0
22817,1.0
22826,1.0
22859,1.0
22890,1.0
22594,1.0
22599,1.0
22601,1.0
22920,1.0
22932,1.0
22584,1.0
22945,1.0
79853,1.0
79854,1.0
79862,1.0
79866,1.0
22949,1.0
22955,1.0
22959,1.0
22961,1.0
22563,1.0
22565,1.0
22993,1.0
23004,1.0
23014,1.0
23018,1.0
23026,1.0
23039,1.0
79787,1.0
79793,1.0
79799,1.0
22528,1.0
23092,1.0
23109,1.0
23126,1.0
23137,1.0
23150,1.0
23170,1.0
23179,1.0
23192,1.0
22486,1.0
23254,1.0
23264,1.0
22469,1.0
23280,1.0
79769,1.0
79782,1.0
23284,1.0
23286,1.0
23287,1.0
23295,1.0
22457,1.0
23305,1.0
23306,1.0
23318,1.0
22436,1.0
22437,1.0
23340,1.0
23352,1.0
23353,1.0
23364,1.0
23366,1.0
23368,1.0
22416,1.0
22429,1.0
23383,1.0
79727,1.0
79743,1.0
23423,1.0
22409,1.0
23424,1.0
23427,1.0
23432,1.0
23435,1.0
23464,1.0
23479,1.0
23481,1.0
23488,1.0
79687,1.0
79696,1.0
79698,1.0
79707,1.0
79709,1.0
131,1.0
23496,1.0
23508,1.0
23513,1.0
23530,1.0
23537,1.0
23538,1.0
23547,1.0
23559,1.0
22354,1.0
22356,1.0
22357,1.0
23573,1.0
79618,1.0
79632,1.0
79644,1.0
79646,1.0
79660,1.0
154,1.0
79668,1.0
23583,1.0
23589,1.0
23616,1.0
23620,1.0
79570,1.0
164,1.0
167,1.0
168,1.0
172,1.0
23630,1.0
22320,1.0
23648,1.0
22311,1.0
23711,1.0
22278,1.0
22279,1.0
22282,1.0
22283,1.0
22284,1.0
23734,1.0
23739,1.0
79532,1.0
184,1.0
79560,1.0
23745,1.0
23748,1.0
23750,1.0
23772,1.0
22261,1.0
22264,1.0
23802,1.0
22254,1.0
22255,1.0
23809,1.0
23810,1.0
23837,1.0
23845,1.0
23855,1.0
22226,1.0
22237,1.0
79504,1.0
79511,1.0
79514,1.0
200,1.0
23861,1.0
23882,1.0
22217,1.0
22223,1.0
23960,1.0
23963,1.0
23974,1.0
23984,1.0
79420,1.0
79448,1.0
214,1.0
79478,1.0
79484,1.0
23989,1.0
24000,1.0
24010,1.0
24025,1.0
24027,1.0
24038,1.0
22148,1.0
24060,1.0
22142,1.0
24068,1.0
24074,1.0
24076,1.0
24079,1.0
79385,1.0
24096,1.0
22121,1.0
22125,1.0
24115,1.0
22100,1.0
24191,1.0
22080,1.0
22081,1.0
22088,1.0
24192,1.0
24207,1.0
22069,1.0
22071,1.0
79350,1.0
79370,1.0
241,1.0
252,1.0
79377,1.0
22049,1.0
24244,1.0
24255,1.0
24266,1.0
24291,1.0
24294,1.0
24299,1.0
24331,1.0
24332,1.0
22017,1.0
24349,1.0
22006,1.0
24353,1.0
24355,1.0
24361,1.0
24367,1.0
79287,1.0
79306,1.0
79324,1.0
256,1.0
24376,1.0
24393,1.0
24397,1.0
21987,1.0
21999,1.0
24408,1.0
24420,1.0
79255,1.0
79256,1.0
79260,1.0
79272,1.0
24450,1.0
24453,1.0
21962,1.0
24486,1.0
21936,1.0
21946,1.0
21950,1.0
21951,1.0
21920,1.0
21923,1.0
24514,1.0
21914,1.0
79228,1.0
21892,1.0
21902,1.0
24591,1.0
24596,1.0
24599,1.0
21873,1.0
24637,1.0
21861,1.0
24646,1.0
24663,1.0
21844,1.0
21853,1.0
21855,1.0
24706,1.0
24714,1.0
21825,1.0
21830,1.0
21831,1.0
24725,1.0
79182,1.0
79188,1.0
310,1.0
24733,1.0
21820,1.0
21823,1.0
24767,1.0
24773,1.0
21799,1.0
21806,1.0
24793,1.0
24800,1.0
24825,1.0
24831,1.0
21789,1.0
79149,1.0
79158,1.0
79160,1.0
329,1.0
331,1.0
334,1.0
79172,1.0
24862,1.0
21763,1.0
24867,1.0
24908,1.0
24917,1.0
24929,1.0
21730,1.0
24946,1.0
24951,1.0
79109,1.0
79126,1.0
79128,1.0
79131,1.0
340,1.0
21713,1.0
21722,1.0
21724,1.0
21727,1.0
24966,1.0
24976,1.0
25003,1.0
25017,1.0
21682,1.0
25026,1.0
79095,1.0
79099,1.0
25042,1.0
25071,1.0
25102,1.0
25118,1.0
21632,1.0
25120,1.0
25124,1.0
25159,1.0
21626,1.0
25174,1.0
25184,1.0
25209,1.0
25238,1.0
79049,1.0
79052,1.0
374,1.0
379,1.0
79057,1.0
79069,1.0
25239,1.0
25240,1.0
25272,1.0
25273,1.0
25296,1.0
25301,1.0
21539,1.0
25397,1.0
25398,1.0
79002,1.0
79011,1.0
79020,1.0
396,1.0
399,1.0
25399,1.0
21533,1.0
25427,1.0
25429,1.0
25433,1.0
25442,1.0
25443,1.0
25489,1.0
21496,1.0
25537,1.0
25562,1.0
25565,1.0
25570,1.0
21457,1.0
25586,1.0
25593,1.0
78922,1.0
78949,1.0
78953,1.0
25596,1.0
25614,1.0
25624,1.0
25639,1.0
25643,1.0
25662,1.0
25675,1.0
21427,1.0
21429,1.0
25702,1.0
78908,1.0
78911,1.0
417,1.0
25711,1.0
25712,1.0
25725,1.0
25748,1.0
25767,1.0
25773,1.0
25791,1.0
21404,1.0
25792,1.0
21388,1.0
21391,1.0
78877,1.0
436,1.0
25830,1.0
25839,1.0
25844,1.0
21362,1.0
25868,1.0
25873,1.0
25880,1.0
21352,1.0
25892,1.0
25910,1.0
25917,1.0
21328,1.0
21342,1.0
21343,1.0
78771,1.0
78815,1.0
25939,1.0
25954,1.0
25990,1.0
25993,1.0
26016,1.0
26030,1.0
26033,1.0
26042,1.0
26050,1.0
26053,1.0
21286,1.0
21290,1.0
26077,1.0
26108,1.0
21273,1.0
26112,1.0
78718,1.0
78730,1.0
470,1.0
78744,1.0
26143,1.0
21248,1.0
21258,1.0
21260,1.0
26146,1.0
26154,1.0
26163,1.0
26170,1.0
21233,1.0
21236,1.0
21241,1.0
78660,1.0
78685,1.0
78702,1.0
490,1.0
26197,1.0
26209,1.0
26215,1.0
21229,1.0
26239,1.0
21200,1.0
21203,1.0
26244,1.0
26246,1.0
26250,1.0
26253,1.0
26258,1.0
26271,1.0
21184,1.0
21187,1.0
21188,1.0
26286,1.0
78623,1.0
78628,1.0
78633,1.0
78634,1.0
507,1.0
78646,1.0
26297,1.0
21168,1.0
21171,1.0
21172,1.0
21178,1.0
26308,1.0
26310,1.0
26311,1.0
26313,1.0
517,1.0
525,1.0
26341,1.0
26345,1.0
26350,1.0
21159,1.0
21162,1.0
26355,1.0
26364,1.0
26369,1.0
26372,1.0
26388,1.0
78536,1.0
78550,1.0
78559,1.0
532,1.0
533,1.0
26394,1.0
26401,1.0
26407,1.0
21122,1.0
21124,1.0
21130,1.0
21134,1.0
21110,1.0
26464,1.0
26468,1.0
78508,1.0
78514,1.0
554,1.0
555,1.0
556,1.0
78528,1.0
26483,1.0
26488,1.0
21097,1.0
21098,1.0
26501,1.0
26520,1.0
26522,1.0
26526,1.0
21072,1.0
21075,1.0
21078,1.0
21085,1.0
78459,1.0
561,1.0
572,1.0
78488,1.0
26540,1.0
26550,1.0
26551,1.0
21061,1.0
21062,1.0
21071,1.0
26613,1.0
26621,1.0
26629,1.0
21024,1.0
21037,1.0
26667,1.0
78418,1.0
78427,1.0
590,1.0
26671,1.0
26676,1.0
26678,1.0
26687,1.0
26730,1.0
21015,1.0
26741,1.0
26743,1.0
26744,1.0
26759,1.0
21000,1.0
21003,1.0
26772,1.0
26777,1.0
78367,1.0
78372,1.0
78394,1.0
78405,1.0
78407,1.0
78411,1.0
26779,1.0
26794,1.0
26795,1.0
20986,1.0
26807,1.0
26809,1.0
26822,1.0
26841,1.0
26848,1.0
78337,1.0
78338,1.0
78341,1.0
612,1.0
613,1.0
78356,1.0
26897,1.0
26899,1.0
26903,1.0
26915,1.0
26924,1.0
26940,1.0
20928,1.0
20939,1.0
20941,1.0
26963,1.0
78309,1.0
78310,1.0
78312,1.0
78319,1.0
624,1.0
628,1.0
633,1.0
78326,1.0
20912,1.0
20913,1.0
20917,1.0
20921,1.0
26976,1.0
27021,1.0
27022,1.0
20899,1.0
78298,1.0
648,1.0
655,1.0
27037,1.0
27043,1.0
20891,1.0
20892,1.0
27059,1.0
27069,1.0
27077,1.0
27078,1.0
27096,1.0
20876,1.0
27106,1.0
27109,1.0
27119,1.0
664,1.0
27123,1.0
27137,1.0
20849,1.0
20852,1.0
20856,1.0
20845,1.0
27176,1.0
27181,1.0
27189,1.0
27190,1.0
27197,1.0
20816,1.0
20826,1.0
78216,1.0
78224,1.0
78225,1.0
27222,1.0
27239,1.0
27249,1.0
27251,1.0
27252,1.0
27263,1.0
27276,1.0
27294,1.0
27299,1.0
20769,1.0
27318,1.0
27320,1.0
27321,1.0
78161,1.0
78182,1.0
78186,1.0
27329,1.0
27335,1.0
27341,1.0
27353,1.0
20747,1.0
20750,1.0
27379,1.0
27381,1.0
27409,1.0
27452,1.0
27453,1.0
27459,1.0
20706,1.0
714,1.0
78144,1.0
78151,1.0
27489,1.0
27498,1.0
27522,1.0
27527,1.0
20682,1.0
20684,1.0
27544,1.0
27546,1.0
27559,1.0
27561,1.0
27573,1.0
27595,1.0
27605,1.0
27612,1.0
20640,1.0
20645,1.0
78102,1.0
78106,1.0
78119,1.0
78122,1.0
729,1.0
732,1.0
27637,1.0
27638,1.0
20632,1.0
27660,1.0
20618,1.0
27705,1.0
27710,1.0
20598,1.0
27713,1.0
27714,1.0
78065,1.0
78066,1.0
78071,1.0
78074,1.0
738,1.0
750,1.0
27735,1.0
20581,1.0
20587,1.0
27780,1.0
27801,1.0
27845,1.0
27853,1.0
27865,1.0
20533,1.0
20543,1.0
78026,1.0
78032,1.0
78040,1.0
753,1.0
27892,1.0
20527,1.0
27905,1.0
27960,1.0
27961,1.0
27967,1.0
20498,1.0
20509,1.0
27971,1.0
27976,1.0
20487,1.0
78004,1.0
78005,1.0
28013,1.0
28024,1.0
28026,1.0
20466,1.0
20467,1.0
28032,1.0
28058,1.0
20462,1.0
28080,1.0
20445,1.0
20447,1.0
28123,1.0
28128,1.0
28131,1.0
28146,1.0
77945,1.0
77954,1.0
77963,1.0
77971,1.0
28167,1.0
28168,1.0
28169,1.0
20408,1.0
20413,1.0
28193,1.0
28195,1.0
28196,1.0
28205,1.0
28207,1.0
28221,1.0
20391,1.0
20394,1.0
20395,1.0
28240,1.0
77900,1.0
807,1.0
808,1.0
809,1.0
28245,1.0
28260,1.0
28285,1.0
28288,1.0
28294,1.0
20365,1.0
77876,1.0
827,1.0
77889,1.0
77898,1.0
28323,1.0
28324,1.0
28336,1.0
20337,1.0
28365,1.0
28373,1.0
28404,1.0
28407,1.0
28417,1.0
28425,1.0
20308,1.0
28467,1.0
28472,1.0
20302,1.0
77841,1.0
77868,1.0
28495,1.0
28497,1.0
20280,1.0
20282,1.0
20283,1.0
20286,1.0
28513,1.0
20256,1.0
20266,1.0
20271,1.0
28560,1.0
28563,1.0
28571,1.0
28585,1.0
28608,1.0
28616,1.0
77785,1.0
851,1.0
77808,1.0
77818,1.0
77823,1.0
28626,1.0
28640,1.0
28648,1.0
28650,1.0
28668,1.0
28678,1.0
28686,1.0
77754,1.0
868,1.0
872,1.0
876,1.0
77771,1.0
20203,1.0
20204,1.0
28724,1.0
28726,1.0
20185,1.0
20190,1.0
28742,1.0
28747,1.0
28767,1.0
28780,1.0
28784,1.0
20174,1.0
77732,1.0
77738,1.0
884,1.0
28830,1.0
28831,1.0
28858,1.0
28876,1.0
28900,1.0
20140,1.0
20123,1.0
20125,1.0
28943,1.0
28956,1.0
28967,1.0
28970,1.0
28972,1.0
20100,1.0
77683,1.0
77685,1.0
77700,1.0
908,1.0
28987,1.0
28988,1.0
28991,1.0
29002,1.0
20086,1.0
20092,1.0
29009,1.0
29012,1.0
29013,1.0
20065,1.0
20069,1.0
77659,1.0
77662,1.0
916,1.0
927,1.0
77672,1.0
29037,1.0
29049,1.0
20053,1.0
20058,1.0
20061,1.0
29089,1.0
29119,1.0
20037,1.0
29125,1.0
29131,1.0
20020,1.0
20024,1.0
20028,1.0
20029,1.0
20031,1.0
77618,1.0
77643,1.0
933,1.0
77654,1.0
29170,1.0
29177,1.0
20000,1.0
20006,1.0
20014,1.0
29192,1.0
29199,1.0
29217,1.0
29219,1.0
19991,1.0
954,1.0
956,1.0
77614,1.0
29272,1.0
19983,1.0
29305,1.0
29336,1.0
19953,1.0
19959,1.0
19966,1.0
29369,1.0
19944,1.0
29396,1.0
29402,1.0
77544,1.0
77561,1.0
77566,1.0
19921,1.0
19922,1.0
19934,1.0
29441,1.0
29471,1.0
29478,1.0
29499,1.0
29511,1.0
29526,1.0
29527,1.0
19888,1.0
19899,1.0
29545,1.0
77527,1.0
29555,1.0
29559,1.0
29571,1.0
29572,1.0
29575,1.0
29583,1.0
29589,1.0
29593,1.0
29603,1.0
29609,1.0
19865,1.0
19866,1.0
29618,1.0
29627,1.0
29630,1.0
29669,1.0
77488,1.0
77502,1.0
77508,1.0
29680,1.0
29691,1.0
29706,1.0
19821,1.0
29744,1.0
29766,1.0
29770,1.0
19795,1.0
19798,1.0
29777,1.0
29780,1.0
29784,1.0
29788,1.0
29791,1.0
77463,1.0
77464,1.0
77466,1.0
1008,1.0
29806,1.0
29816,1.0
29823,1.0
19790,1.0
19791,1.0
29833,1.0
29862,1.0
29870,1.0
29892,1.0
29894,1.0
29911,1.0
19748,1.0
77421,1.0
77425,1.0
77435,1.0
1036,1.0
77458,1.0
29926,1.0
29939,1.0
29954,1.0
29961,1.0
29973,1.0
19715,1.0
19725,1.0
29995,1.0
29998,1.0
30002,1.0
30005,1.0
1046,1.0
77408,1.0
77412,1.0
19686,1.0
30032,1.0
30053,1.0
30077,1.0
30083,1.0
30084,1.0
30096,1.0
30098,1.0
30100,1.0
30129,1.0
19652,1.0
19653,1.0
30147,1.0
77342,1.0
77357,1.0
77362,1.0
1070,1.0
1071,1.0
19637,1.0
19640,1.0
19646,1.0
30206,1.0
30213,1.0
30215,1.0
19631,1.0
30226,1.0
1073,1.0
1077,1.0
30251,1.0
30254,1.0
19602,1.0
19606,1.0
19594,1.0
30273,1.0
30285,1.0
19570,1.0
19581,1.0
30313,1.0
30317,1.0
19564,1.0
19566,1.0
19567,1.0
77247,1.0
77248,1.0
77250,1.0
77267,1.0
77278,1.0
77280,1.0
19537,1.0
19544,1.0
30374,1.0
30396,1.0
30402,1.0
19520,1.0
19529,1.0
30423,1.0
30430,1.0
30433,1.0
30445,1.0
30455,1.0
77226,1.0
77227,1.0
77230,1.0
1119,1.0
77239,1.0
30495,1.0
30522,1.0
30525,1.0
30527,1.0
19502,1.0
30539,1.0
30548,1.0
30549,1.0
19476,1.0
30561,1.0
30562,1.0
77175,1.0
1127,1.0
30565,1.0
30575,1.0
30584,1.0
19457,1.0
30622,1.0
19448,1.0
30657,1.0
30662,1.0
30670,1.0
30671,1.0
19432,1.0
19410,1.0
19413,1.0
19414,1.0
19417,1.0
19423,1.0
30698,1.0
77132,1.0
77134,1.0
1146,1.0
30710,1.0
30711,1.0
30744,1.0
30756,1.0
19381,1.0
19391,1.0
30775,1.0
