row_id,value
6907,1.0
6929,1.0
79908,1.0
79936,1.0
79942,1.0
48408,1.0
48622,1.0
48867,1.0
28223,1.0
28349,1.0
79269,1.0
79271,1.0
48884,1.0
48891,1.0
48892,1.0
48658,1.0
48734,1.0
48748,1.0
48262,1.0
48274,1.0
79103,1.0
79181,1.0
82,1.0
29009,1.0
48294,1.0
20140,1.0
20238,1.0
48805,1.0
48816,1.0
48840,1.0
48948,1.0
49055,1.0
49450,1.0
49489,1.0
49139,1.0
78964,1.0
49225,1.0
48005,1.0
48030,1.0
48055,1.0
48078,1.0
19878,1.0
19906,1.0
49353,1.0
49373,1.0
20489,1.0
47959,1.0
49891,1.0
49899,1.0
49538,1.0
49783,1.0
19837,1.0
50038,1.0
50043,1.0
28079,1.0
79055,1.0
78903,1.0
78935,1.0
7218,1.0
7235,1.0
29049,1.0
49810,1.0
49815,1.0
2729,1.0
2730,1.0
47714,1.0
47728,1.0
47817,1.0
7309,1.0
7314,1.0
78703,1.0
78764,1.0
29366,1.0
29373,1.0
29401,1.0
50278,1.0
49967,1.0
49975,1.0
47572,1.0
47583,1.0
19680,1.0
50104,1.0
47661,1.0
47359,1.0
47393,1.0
28056,1.0
4755,1.0
29421,1.0
47472,1.0
50298,1.0
2674,1.0
19652,1.0
20907,1.0
21000,1.0
5395,1.0
47111,1.0
50465,1.0
50618,1.0
19514,1.0
19595,1.0
7529,1.0
7545,1.0
7569,1.0
78493,1.0
78605,1.0
78608,1.0
47069,1.0
47075,1.0
47076,1.0
2637,1.0
50657,1.0
50694,1.0
2649,1.0
19456,1.0
50979,1.0
21142,1.0
21147,1.0
21177,1.0
21222,1.0
27970,1.0
78265,1.0
78329,1.0
78360,1.0
78372,1.0
78377,1.0
7577,1.0
7485,1.0
21271,1.0
46760,1.0
46778,1.0
51206,1.0
51288,1.0
51619,1.0
51621,1.0
7714,1.0
51309,1.0
51332,1.0
46898,1.0
46952,1.0
46579,1.0
46640,1.0
46665,1.0
19217,1.0
46546,1.0
3008,1.0
51682,1.0
51741,1.0
51767,1.0
18999,1.0
78009,1.0
29769,1.0
29770,1.0
29787,1.0
29856,1.0
29868,1.0
51808,1.0
51828,1.0
46404,1.0
46458,1.0
51982,1.0
21387,1.0
21398,1.0
21419,1.0
21444,1.0
5362,1.0
30029,1.0
7894,1.0
7901,1.0
77724,1.0
77725,1.0
77733,1.0
78171,1.0
192,1.0
2506,1.0
52247,1.0
52276,1.0
52329,1.0
52331,1.0
46335,1.0
30208,1.0
77576,1.0
77583,1.0
27673,1.0
29985,1.0
18898,1.0
52884,1.0
45787,1.0
45803,1.0
45845,1.0
45904,1.0
3072,1.0
21531,1.0
52797,1.0
21576,1.0
21609,1.0
27613,1.0
30153,1.0
30177,1.0
45647,1.0
45695,1.0
45396,1.0
45455,1.0
45459,1.0
45468,1.0
45508,1.0
18761,1.0
18762,1.0
45295,1.0
45378,1.0
21652,1.0
2403,1.0
18601,1.0
21729,1.0
8013,1.0
8052,1.0
6554,1.0
77322,1.0
77527,1.0
21825,1.0
21826,1.0
45156,1.0
45173,1.0
3147,1.0
21838,1.0
18566,1.0
53438,1.0
53445,1.0
27594,1.0
77151,1.0
77184,1.0
77225,1.0
8238,1.0
53615,1.0
21859,1.0
21888,1.0
22020,1.0
44730,1.0
44755,1.0
44877,1.0
22030,1.0
54026,1.0
53669,1.0
53740,1.0
4529,1.0
77042,1.0
77079,1.0
77083,1.0
77108,1.0
312,1.0
30299,1.0
18311,1.0
18323,1.0
53823,1.0
54481,1.0
54113,1.0
54253,1.0
22093,1.0
5305,1.0
44626,1.0
18144,1.0
18145,1.0
5636,1.0
18248,1.0
44713,1.0
30639,1.0
8366,1.0
30418,1.0
44455,1.0
54530,1.0
54562,1.0
18082,1.0
54819,1.0
54824,1.0
54829,1.0
55403,1.0
55040,1.0
55070,1.0
55128,1.0
76903,1.0
76931,1.0
76809,1.0
27503,1.0
55178,1.0
22234,1.0
22243,1.0
22262,1.0
44160,1.0
44192,1.0
44195,1.0
44227,1.0
44256,1.0
44074,1.0
44132,1.0
55330,1.0
8530,1.0
8533,1.0
31198,1.0
30941,1.0
4496,1.0
55472,1.0
55581,1.0
17679,1.0
55897,1.0
2239,1.0
3246,1.0
43963,1.0
22358,1.0
17582,1.0
17612,1.0
55842,1.0
55856,1.0
56325,1.0
31026,1.0
31031,1.0
8657,1.0
76321,1.0
76476,1.0
76503,1.0
56057,1.0
56061,1.0
22420,1.0
43815,1.0
43822,1.0
31307,1.0
8834,1.0
8865,1.0
76216,1.0
76287,1.0
31337,1.0
4465,1.0
4467,1.0
43855,1.0
56451,1.0
56454,1.0
56460,1.0
56218,1.0
56284,1.0
2182,1.0
3279,1.0
43647,1.0
43658,1.0
43728,1.0
43753,1.0
3288,1.0
17506,1.0
17518,1.0
56355,1.0
76300,1.0
76045,1.0
76168,1.0
27315,1.0
31275,1.0
43446,1.0
43463,1.0
43561,1.0
22458,1.0
56529,1.0
17404,1.0
27187,1.0
75870,1.0
75948,1.0
75995,1.0
8915,1.0
8959,1.0
8980,1.0
76289,1.0
2126,1.0
56869,1.0
56900,1.0
56905,1.0
56937,1.0
22517,1.0
31707,1.0
17275,1.0
17321,1.0
43367,1.0
43424,1.0
43055,1.0
43074,1.0
43143,1.0
57555,1.0
57189,1.0
57404,1.0
17252,1.0
57787,1.0
57426,1.0
57457,1.0
2085,1.0
43230,1.0
42903,1.0
75578,1.0
75664,1.0
75677,1.0
9138,1.0
9191,1.0
9194,1.0
27159,1.0
31542,1.0
43016,1.0
17114,1.0
